order_id,order_date,region,category,quantity,unit_price ($),customer_id,revenue ($)
10043,2025-11-03,Lagos,Home,3,249.38,1331,748.14
10044,2025-05-15,Edmonton,Home,6,421.79,1324,2530.74
10045,2025-01-21,Kumasi,Electronics,6,224.05,1356,1344.3
10046,2025-11-25,Lagos,Electronics,3,354.87,1158,1064.61
10047,2025-06-16,Abuja,Groceries,3,366.47,1347,1099.41
10048,2025-10-01,Abuja,Groceries,8,88.63,1347,709.04
10049,2025-03-30,Lagos,Electronics,8,181.89,1285,1455.12
10050,2025-11-12,Abuja,Groceries,7,319.38,1017,2235.66
10051,2025-01-14,Kumasi,Beauty,10,37.21,1043,372.1
10052,2025-08-30,Accra,Home,4,182.05,1154,728.2
10053,2025-09-22,Kumasi,Home,4,268.33,1354,1073.32
10054,2025-12-12,Edmonton,Electronics,3,498.12,1376,1494.36
10055,2025-02-22,Kumasi,Clothing,5,238.32,1230,1191.6
10056,2025-12-06,Edmonton,Electronics,3,408.4,1370,1225.2
10057,2025-04-02,Abuja,Groceries,8,217.17,1315,1737.36
10058,2025-09-21,Accra,Clothing,7,398.6,1224,2790.2
10059,2025-02-04,Abuja,Groceries,3,298.52,1216,895.56
10060,2025-07-25,Calgary,Beauty,9,443.52,1055,3991.68
10061,2025-03-22,Abuja,Groceries,5,206.65,1030,1033.25
10062,2025-02-19,Edmonton,Beauty,9,302.94,1356,2726.46
10063,2025-12-26,Abuja,Beauty,7,315.75,1058,2210.25
10064,2025-01-02,Abuja,Groceries,7,209.86,1379,1469.02
10065,2025-02-23,Accra,Groceries,6,73.87,1385,443.22
10066,2025-04-16,Abuja,Beauty,2,48.59,1352,97.18
10067,2025-09-17,Accra,Clothing,9,10.3,1234,92.7
10068,2025-11-06,Lagos,Beauty,6,437.02,1106,2622.12
10069,2025-07-10,Calgary,Home,8,119.76,1190,958.08
10070,2025-08-06,Accra,Beauty,1,253.245,1017,253.24
10071,2025-02-13,Edmonton,Clothing,5,368.55,1225,1842.75
10072,2025-06-11,Lagos,Home,1,161.37,1166,161.37
10073,2025-07-21,Accra,Electronics,10,237.475,1070,2374.75
10074,2025-09-27,Accra,Electronics,11,82.93,1361,912.23
10075,2025-12-17,Calgary,Clothing,8,479.95,1053,3839.6
10076,2025-10-31,Edmonton,Beauty,8,426.09,1244,3408.72
10077,2025-09-28,Kumasi,Groceries,1,432.17,1349,432.17
10078,2025-08-03,Kumasi,Clothing,9,204.57,1075,1841.13
10079,2025-09-09,Accra,Home,2,381.66,1034,763.32
10080,2025-07-09,Abuja,Home,9,73.65,1266,662.85
10081,2025-10-23,Edmonton,Electronics,1,6.29,1316,6.29
10082,2025-08-01,Lagos,Home,10,11.95,1299,119.5
10083,2025-07-27,Abuja,Clothing,9,294.13,1120,2647.17
10084,2025-08-25,Abuja,Home,4,228.79,1323,915.16
10085,2025-12-04,Edmonton,Clothing,9,259.97,1024,2339.73
10086,2025-02-22,Accra,Groceries,7,5.72,1159,40.04
10087,2025-10-07,Accra,Electronics,11,212.5,1083,2337.5
10088,2025-08-05,Accra,Home,6,359.6,1113,2157.6
10089,2025-09-09,Accra,Clothing,5,242.555,1222,1212.78
10090,2025-07-07,Kumasi,Beauty,11,366.65,1387,4033.15
10091,2025-02-10,Accra,Electronics,9,118.04,1165,1062.36
10092,2025-06-06,Kumasi,Groceries,2,406.94,1190,813.88
10093,2025-01-15,Kumasi,Clothing,11,295.04,1174,3245.44
10094,2025-10-28,Accra,Groceries,2,106.96,1000,213.92
10095,2025-03-06,Calgary,Groceries,11,119.89,1386,1318.79
10096,2025-12-11,Lagos,Home,9,314.76,1228,2832.84
10097,2025-11-23,Abuja,Home,3,415.31,1085,1245.93
10098,2025-01-09,Kumasi,Clothing,8,208.98,1061,1671.84
10099,2025-12-10,Edmonton,Beauty,11,130.63,1319,1436.93
10100,2025-05-09,Edmonton,Clothing,9,433.77,1381,3903.93
10101,2025-05-16,Lagos,Beauty,8,335.3,1205,2682.4
10102,2025-03-04,Edmonton,Groceries,4,225.15,1104,900.6
10103,2025-05-19,Calgary,Electronics,1,244.97,1317,244.97
10104,2025-03-22,Edmonton,Clothing,4,103.72,1290,414.88
10105,2025-06-12,Abuja,Clothing,9,314.15,1249,2827.35
10106,2025-10-16,Abuja,Beauty,2,180.65,1012,361.3
10107,2025-09-18,Kumasi,Groceries,3,497.83,1162,1493.49
10108,2025-08-19,Accra,Groceries,10,241.13,1042,2411.3
10109,2025-02-10,Calgary,Beauty,8,243.97,1385,1951.76
10110,2025-01-28,Kumasi,Groceries,6,283.79,1110,1702.74
10111,2025-05-15,Calgary,Home,8,458.54,1204,3668.32
10112,2025-07-20,Accra,Electronics,7,400.81,1383,2805.67
10113,2025-11-24,Edmonton,Clothing,5,226.66,1255,1133.3
10114,2025-09-25,Edmonton,Electronics,9,359.91,1306,3239.19
10115,2025-02-02,Calgary,Clothing,4,293.95,1143,1175.8
10116,2025-02-17,Kumasi,Home,6,247.2,1145,1483.2
10117,2025-03-03,Accra,Groceries,2,97.77,1390,195.54
10118,2025-08-04,Lagos,Beauty,2,233.04,1300,466.08
10119,2025-10-20,Calgary,Home,2,124.42,1163,248.84
10120,2025-04-09,Kumasi,Electronics,10,457.59,1168,4575.9
10121,2025-06-21,Calgary,Beauty,7,169.03,1297,1183.21
10122,2025-12-26,Lagos,Groceries,2,476.23,1232,952.46
10123,2025-08-02,Kumasi,Home,2,267.46,1390,534.92
10124,2025-02-04,Accra,Beauty,9,316.51,1270,2848.59
10125,2025-08-15,Accra,Home,7,272.38,1059,1906.66
10126,2025-04-11,Calgary,Home,11,66.43,1295,730.73
10127,2025-05-11,Accra,Groceries,3,189.16,1234,567.48
10128,2025-09-14,Calgary,Clothing,3,51.37,1164,154.11
10129,2025-01-05,Lagos,Beauty,7,253.245,1193,1772.72
10130,2025-08-06,Edmonton,Groceries,5,224.54,1233,1122.7
10131,2025-09-12,Abuja,Home,10,389.44,1367,3894.4
10132,2025-12-25,Calgary,Groceries,6,111.79,1182,670.74
10133,2025-10-10,Calgary,Clothing,8,83.95,1332,671.6
10134,2025-07-26,Edmonton,Beauty,9,204.35,1231,1839.15
10135,2025-01-15,Edmonton,Clothing,1,463.44,1360,463.44
10136,2025-12-12,Abuja,Electronics,3,355.79,1106,1067.37
10137,2025-02-11,Abuja,Beauty,11,210.62,1377,2316.82
10138,2025-06-28,Edmonton,Clothing,7,259.6,1222,1817.2
10139,2025-03-04,Accra,Home,6,43.94,1079,263.64
10140,2025-12-18,Calgary,Beauty,7,492.32,1233,3446.24
10141,2025-08-19,Kumasi,Beauty,8,333.87,1380,2670.96
10142,2025-08-29,Abuja,Groceries,6,144.13,1183,864.78
10143,2025-02-21,Abuja,Home,3,293.73,1184,881.19
10144,2025-04-06,Edmonton,Electronics,2,56.52,1133,113.04
10145,2025-08-10,Lagos,Clothing,7,482.99,1219,3380.93
10146,2025-08-19,Calgary,Groceries,11,89.04,1287,979.44
10147,2025-08-25,Kumasi,Clothing,1,324.72,1363,324.72
10148,2025-05-23,Abuja,Electronics,3,124.24,1201,372.72
10149,2025-06-20,Accra,Electronics,11,359.35,1369,3952.85
10150,2025-01-29,Lagos,Beauty,4,388.86,1145,1555.44
10151,2025-02-05,Kumasi,Electronics,1,337.36,1323,337.36
10152,2025-01-13,Abuja,Clothing,5,308.02,1126,1540.1
10153,2025-06-09,Kumasi,Home,10,446.45,1134,4464.5
10155,2025-07-06,Lagos,Beauty,2,166.8,1263,333.6
10156,2025-08-31,Calgary,Clothing,3,125.65,1063,376.95
10157,2025-03-27,Edmonton,Clothing,8,494.03,1134,3952.24
10158,2025-10-11,Edmonton,Electronics,6,195.92,1040,1175.52
10159,2025-03-07,Abuja,Clothing,7,366.84,1295,2567.88
10160,2025-06-19,Lagos,Groceries,6,342.99,1002,2057.94
10161,2025-02-14,Calgary,Electronics,6,107.62,1193,645.72
10162,2025-03-03,Calgary,Groceries,3,121.02,1109,363.06
10163,2025-05-14,Kumasi,Beauty,8,142.08,1220,1136.64
10164,2025-10-11,Kumasi,Home,7,206.74,1369,1447.18
10165,2025-01-28,Calgary,Beauty,7,118.69,1367,830.83
10166,2025-04-18,Kumasi,Home,6,11.79,1003,70.74
10167,2025-02-13,Lagos,Beauty,5,439.94,1243,2199.7
10168,2025-12-06,Accra,Clothing,10,482.87,1389,4828.7
10169,2025-10-13,Lagos,Groceries,8,172.1,1165,1376.8
10170,2025-11-27,Calgary,Home,5,170.58,1025,852.9
10171,2025-05-08,Calgary,Electronics,9,5.53,1394,49.77
10172,2025-12-14,Lagos,Groceries,9,340.76,1016,3066.84
10173,2025-08-19,Kumasi,Electronics,1,413.07,1215,413.07
10174,2025-07-09,Kumasi,Groceries,6,75.01,1091,450.06
10175,2025-08-13,Edmonton,Groceries,7,81.51,1030,570.57
10176,2025-10-10,Calgary,Beauty,3,395.46,1204,1186.38
10177,2025-05-01,Abuja,Home,7,308.91,1399,2162.37
10178,2025-04-26,Edmonton,Home,11,24.34,1206,267.74
10179,2025-08-21,Kumasi,Groceries,11,312.03,1106,3432.33
10180,2025-09-16,Lagos,Clothing,7,155.84,1145,1090.88
10181,2025-12-25,Kumasi,Clothing,11,185.63,1366,2041.93
10182,2025-07-17,Lagos,Electronics,2,385.33,1100,770.66
10183,2025-05-17,Edmonton,Electronics,7,405.85,1367,2840.95
10184,2025-11-14,Calgary,Beauty,1,201.38,1317,201.38
10185,2025-06-14,Kumasi,Groceries,5,473.68,1367,2368.4
10186,2025-08-13,Lagos,Electronics,9,204.42,1240,1839.78
10187,2025-11-03,Calgary,Electronics,7,237.475,1246,1662.32
10188,2025-08-22,Abuja,Groceries,7,242.97,1162,1700.79
10189,2025-06-21,Lagos,Beauty,11,448.97,1371,4938.67
10190,2025-06-01,Edmonton,Electronics,2,454.07,1172,908.14
10191,2025-11-11,Abuja,Beauty,8,45.53,1034,364.24
10192,2025-06-09,Abuja,Home,3,252.175,1283,756.53
10193,2025-04-06,Accra,Beauty,8,413.12,1358,3304.96
10194,2025-08-21,Kumasi,Clothing,3,396.07,1380,1188.21
10195,2025-06-29,Lagos,Clothing,10,102.05,1357,1020.5
10196,2025-04-23,Abuja,Beauty,7,402.95,1392,2820.65
10197,2025-11-14,Accra,Clothing,2,425.37,1398,850.74
10198,2025-02-21,Edmonton,Home,4,146.0,1020,584.0
10199,2025-09-25,Calgary,Groceries,11,476.23,1307,5238.53
10200,2025-10-22,Lagos,Clothing,6,26.83,1162,160.98
10201,2025-04-23,Abuja,Clothing,11,76.65,1096,843.15
10202,2025-04-11,Kumasi,Beauty,9,269.72,1306,2427.48
10203,2025-04-23,Accra,Home,5,288.74,1338,1443.7
10204,2025-03-22,Abuja,Groceries,9,323.28,1054,2909.52
10205,2025-07-06,Kumasi,Beauty,5,10.45,1332,52.25
10206,2025-04-23,Abuja,Beauty,10,480.26,1126,4802.6
10207,2025-01-02,Lagos,Home,8,24.2,1192,193.6
10208,2025-05-10,Lagos,Groceries,1,73.24,1242,73.24
10209,2025-08-08,Lagos,Home,7,8.98,1348,62.86
10210,2025-02-23,Edmonton,Groceries,4,284.3,1087,1137.2
10211,2025-12-09,Edmonton,Home,5,252.175,1335,1260.88
10212,2025-08-12,Accra,Beauty,6,333.64,1214,2001.84
10213,2025-08-13,Lagos,Beauty,5,411.68,1091,2058.4
10214,2025-05-06,Kumasi,Electronics,1,8.61,1302,8.61
10215,2025-05-10,Abuja,Clothing,9,271.92,1234,2447.28
10216,2025-02-22,Calgary,Home,2,230.86,1183,461.72
10217,2025-06-21,Kumasi,Electronics,9,250.49,1037,2254.41
10218,2025-08-06,Edmonton,Clothing,10,37.96,1138,379.6
10219,2025-06-09,Edmonton,Home,2,342.85,1194,685.7
10220,2025-07-17,Kumasi,Groceries,9,252.6,1014,2273.4
10221,2025-09-04,Edmonton,Clothing,6,383.04,1256,2298.24
10222,2025-11-20,Lagos,Beauty,11,243.67,1134,2680.37
10223,2025-07-22,Accra,Electronics,9,76.39,1000,687.51
10224,2025-07-03,Abuja,Clothing,6,324.83,1048,1948.98
10225,2025-05-03,Accra,Clothing,6,87.85,1095,527.1
10226,2025-09-12,Abuja,Beauty,11,436.45,1200,4800.95
10227,2025-10-21,Abuja,Home,2,307.33,1025,614.66
10228,2025-10-07,Accra,Groceries,8,80.29,1342,642.32
10229,2025-11-21,Kumasi,Beauty,3,481.24,1234,1443.72
10230,2025-04-08,Abuja,Groceries,7,260.15,1348,1821.05
10231,2025-07-17,Accra,Home,5,38.3,1243,191.5
10232,2025-08-28,Abuja,Clothing,3,314.16,1357,942.48
10233,2025-05-24,Calgary,Groceries,1,128.09,1326,128.09
10234,2025-04-07,Kumasi,Electronics,8,402.24,1395,3217.92
10235,2025-07-20,Lagos,Electronics,3,409.28,1350,1227.84
10236,2025-05-04,Abuja,Beauty,2,489.52,1373,979.04
10237,2025-07-06,Calgary,Home,1,251.93,1374,251.93
10238,2025-11-22,Lagos,Beauty,4,228.57,1050,914.28
10239,2025-12-15,Lagos,Beauty,8,377.23,1080,3017.84
10240,2025-09-16,Abuja,Beauty,3,67.97,1035,203.91
10241,2025-05-28,Accra,Electronics,1,274.36,1066,274.36
10242,2025-09-09,Abuja,Electronics,4,274.03,1128,1096.12
10243,2025-12-12,Calgary,Beauty,9,46.56,1369,419.04
10244,2025-05-27,Lagos,Electronics,1,210.16,1154,210.16
10245,2025-05-28,Abuja,Home,11,426.94,1244,4696.34
10246,2025-12-18,Accra,Beauty,2,428.36,1110,856.72
10247,2025-07-18,Abuja,Electronics,9,51.42,1167,462.78
10248,2025-11-04,Kumasi,Groceries,2,47.18,1141,94.36
10249,2025-05-08,Accra,Beauty,3,132.82,1355,398.46
10250,2025-02-08,Calgary,Beauty,7,437.63,1196,3063.41
10251,2025-12-04,Lagos,Home,3,66.19,1108,198.57
10252,2025-12-26,Abuja,Clothing,9,360.56,1375,3245.04
10253,2025-05-09,Accra,Clothing,6,52.38,1078,314.28
10254,2025-09-24,Kumasi,Home,3,252.175,1389,756.53
10255,2025-05-31,Accra,Home,9,179.32,1160,1613.88
10256,2025-10-25,Edmonton,Home,1,394.88,1018,394.88
10257,2025-04-09,Kumasi,Clothing,10,118.38,1126,1183.8
10258,2025-09-20,Calgary,Home,3,320.32,1204,960.96
10259,2025-09-09,Lagos,Electronics,1,119.37,1028,119.37
10260,2025-05-24,Calgary,Beauty,2,357.4,1206,714.8
10261,2025-12-12,Abuja,Beauty,8,437.09,1279,3496.72
10262,2025-04-22,Accra,Groceries,7,65.15,1150,456.05
10263,2025-03-01,Edmonton,Groceries,2,433.56,1239,867.12
10264,2025-01-02,Kumasi,Beauty,2,297.6,1265,595.2
10265,2025-10-31,Kumasi,Electronics,9,65.3,1181,587.7
10266,2025-09-11,Accra,Clothing,6,214.92,1104,1289.52
10267,2025-05-20,Edmonton,Clothing,5,82.11,1235,410.55
10268,2025-02-06,Calgary,Electronics,10,350.77,1172,3507.7
10269,2025-06-09,Abuja,Clothing,6,379.92,1157,2279.52
10270,2025-01-09,Calgary,Home,9,54.69,1171,492.21
10271,2025-08-21,Kumasi,Beauty,11,254.06,1310,2794.66
10272,2025-04-09,Abuja,Beauty,7,407.68,1156,2853.76
10273,2025-05-27,Calgary,Electronics,10,468.21,1257,4682.1
10274,2025-10-31,Calgary,Clothing,10,257.73,1163,2577.3
10275,2025-07-27,Edmonton,Groceries,9,475.24,1146,4277.16
10276,2025-05-11,Kumasi,Groceries,4,268.77,1390,1075.08
10277,2025-06-01,Calgary,Clothing,2,198.31,1153,396.62
10278,2025-02-23,Accra,Groceries,8,424.41,1366,3395.28
10279,2025-04-30,Calgary,Electronics,4,247.51,1037,990.04
10280,2025-06-10,Lagos,Electronics,9,237.01,1130,2133.09
10281,2025-04-26,Edmonton,Clothing,4,246.18,1357,984.72
10282,2025-03-16,Calgary,Groceries,8,423.7,1254,3389.6
10283,2025-04-23,Lagos,Electronics,9,416.31,1207,3746.79
10284,2025-04-14,Abuja,Electronics,9,202.95,1094,1826.55
10285,2025-12-06,Edmonton,Home,10,167.98,1347,1679.8
10286,2025-09-11,Abuja,Home,4,246.98,1326,987.92
10287,2025-08-15,Kumasi,Electronics,1,287.24,1170,287.24
10288,2025-04-22,Edmonton,Clothing,3,120.69,1249,362.07
10289,2025-04-09,Lagos,Beauty,9,397.39,1189,3576.51
10291,2025-12-15,Accra,Electronics,5,168.35,1220,841.75
10292,2025-12-04,Lagos,Electronics,7,55.2,1023,386.4
10293,2025-07-13,Calgary,Electronics,5,120.94,1243,604.7
10294,2025-11-06,Accra,Clothing,4,474.74,1323,1898.96
10295,2025-06-12,Accra,Home,2,153.94,1127,307.88
10296,2025-07-27,Calgary,Electronics,2,86.09,1092,172.18
10297,2025-06-18,Edmonton,Electronics,4,231.42,1299,925.68
10298,2025-06-10,Accra,Groceries,10,154.93,1132,1549.3
10299,2025-03-09,Lagos,Clothing,10,19.51,1054,195.1
10300,2025-10-16,Kumasi,Electronics,9,162.93,1157,1466.37
10301,2025-10-04,Accra,Groceries,8,272.97,1028,2183.76
10302,2025-10-31,Lagos,Beauty,3,276.75,1210,830.25
10303,2025-05-15,Abuja,Electronics,9,179.57,1153,1616.13
10304,2025-07-14,Lagos,Electronics,5,224.76,1292,1123.8
10305,2025-05-08,Kumasi,Groceries,11,241.13,1221,2652.43
10306,2025-02-02,Lagos,Clothing,3,189.92,1114,569.76
10308,2025-01-22,Kumasi,Beauty,10,123.25,1258,1232.5
10309,2025-08-26,Edmonton,Electronics,4,229.97,1250,919.88
10310,2025-06-07,Abuja,Beauty,8,380.24,1121,3041.92
10311,2025-02-07,Calgary,Home,5,104.58,1298,522.9
10312,2025-08-18,Edmonton,Home,10,355.23,1262,3552.3
10313,2025-12-31,Lagos,Beauty,8,12.53,1380,100.24
10314,2025-02-20,Kumasi,Clothing,9,210.63,1048,1895.67
10315,2025-09-21,Abuja,Electronics,4,388.38,1376,1553.52
10316,2025-10-10,Calgary,Electronics,7,170.69,1328,1194.83
10317,2025-01-27,Edmonton,Home,2,282.74,1296,565.48
10318,2025-08-14,Edmonton,Beauty,6,253.245,1361,1519.47
10319,2025-10-04,Abuja,Electronics,8,371.51,1076,2972.08
10320,2025-10-13,Lagos,Electronics,7,28.03,1126,196.21
10321,2025-04-07,Abuja,Clothing,7,426.57,1196,2985.99
10322,2025-10-11,Edmonton,Groceries,8,100.7,1220,805.6
10323,2025-11-13,Accra,Home,7,437.45,1090,3062.15
10324,2025-10-31,Calgary,Home,5,177.56,1007,887.8
10325,2025-05-27,Calgary,Groceries,7,361.9,1031,2533.3
10326,2025-01-04,Edmonton,Electronics,10,160.97,1319,1609.7
10327,2025-02-04,Lagos,Clothing,3,453.14,1393,1359.42
10328,2025-07-11,Edmonton,Clothing,5,65.07,1268,325.35
10329,2025-02-18,Lagos,Home,7,90.9,1190,636.3
10330,2025-01-17,Abuja,Clothing,9,247.53,1348,2227.77
10331,2025-06-21,Lagos,Groceries,2,42.81,1162,85.62
10332,2025-08-08,Kumasi,Electronics,4,99.6,1060,398.4
10333,2025-06-07,Kumasi,Groceries,7,472.0,1263,3304.0
10334,2025-02-15,Kumasi,Beauty,1,488.29,1284,488.29
10335,2025-01-06,Accra,Home,2,189.38,1094,378.76
10336,2025-04-09,Abuja,Clothing,9,461.8,1040,4156.2
10337,2025-08-21,Edmonton,Beauty,10,273.32,1148,2733.2
10338,2025-02-06,Edmonton,Clothing,7,136.33,1203,954.31
10339,2025-10-07,Accra,Electronics,10,351.79,1266,3517.9
10340,2025-12-15,Lagos,Electronics,7,330.13,1001,2310.91
10341,2025-10-29,Accra,Electronics,6,494.58,1177,2967.48
10342,2025-06-30,Lagos,Clothing,3,133.99,1193,401.97
10343,2025-04-05,Lagos,Beauty,10,336.69,1386,3366.9
10344,2025-04-09,Calgary,Electronics,3,27.91,1335,83.73
10345,2025-07-07,Edmonton,Beauty,2,58.6,1195,117.2
10346,2025-04-26,Kumasi,Clothing,11,3.95,1342,43.45
10347,2025-07-10,Lagos,Beauty,6,499.73,1248,2998.38
10348,2025-09-10,Calgary,Clothing,4,401.53,1211,1606.12
10349,2025-06-10,Edmonton,Clothing,5,393.79,1152,1968.95
10350,2025-09-13,Kumasi,Home,3,255.84,1157,767.52
10351,2025-11-19,Lagos,Clothing,6,151.43,1361,908.58
10352,2025-05-08,Lagos,Clothing,11,242.555,1138,2668.1
10353,2025-01-18,Accra,Groceries,3,143.77,1220,431.31
10354,2025-10-08,Accra,Electronics,8,189.23,1272,1513.84
10355,2025-08-11,Calgary,Home,9,378.64,1153,3407.76
10356,2025-02-23,Kumasi,Home,4,270.75,1248,1083.0
10357,2025-02-27,Lagos,Home,9,40.59,1278,365.31
10358,2025-11-19,Edmonton,Groceries,7,10.98,1303,76.86
10359,2025-12-26,Edmonton,Clothing,3,52.96,1275,158.88
10360,2025-06-23,Abuja,Electronics,7,206.43,1001,1445.01
10361,2025-10-07,Accra,Beauty,1,466.73,1087,466.73
10362,2025-04-24,Kumasi,Clothing,3,319.43,1286,958.29
10363,2025-10-15,Lagos,Groceries,6,401.31,1129,2407.86
10364,2025-12-08,Edmonton,Clothing,4,234.25,1077,937.0
10365,2025-05-31,Lagos,Clothing,7,182.11,1259,1274.77
10366,2025-05-07,Abuja,Groceries,3,55.98,1240,167.94
10367,2025-06-04,Kumasi,Home,1,438.21,1140,438.21
10368,2025-09-30,Edmonton,Home,9,392.01,1227,3528.09
10369,2025-04-14,Lagos,Electronics,6,85.72,1162,514.32
10370,2025-10-26,Accra,Electronics,8,257.11,1235,2056.88
10371,2025-09-03,Abuja,Home,3,244.71,1127,734.13
10372,2025-06-25,Kumasi,Beauty,8,313.3,1199,2506.4
10373,2025-02-08,Abuja,Clothing,2,473.2,1389,946.4
10374,2025-06-19,Accra,Beauty,4,290.73,1030,1162.92
10375,2025-09-04,Kumasi,Clothing,3,271.03,1137,813.09
10376,2025-01-26,Abuja,Home,10,27.06,1020,270.6
10377,2025-12-21,Calgary,Electronics,1,33.33,1233,33.33
10378,2025-11-02,Accra,Electronics,7,95.3,1201,667.1
10379,2025-01-13,Calgary,Beauty,11,18.17,1278,199.87
10380,2025-11-12,Accra,Electronics,10,372.19,1130,3721.9
10381,2025-11-09,Calgary,Home,2,362.22,1147,724.44
10382,2025-02-05,Calgary,Beauty,4,69.76,1028,279.04
10383,2025-06-22,Lagos,Clothing,9,418.37,1360,3765.33
10384,2025-01-20,Edmonton,Electronics,6,79.08,1307,474.48
10385,2025-11-17,Abuja,Groceries,8,151.99,1370,1215.92
10386,2025-09-21,Lagos,Electronics,2,125.99,1161,251.98
10387,2025-05-22,Abuja,Clothing,7,187.41,1356,1311.87
10388,2025-05-23,Edmonton,Beauty,6,128.82,1339,772.92
10389,2025-04-02,Calgary,Clothing,9,245.5,1060,2209.5
10390,2025-12-20,Edmonton,Groceries,7,241.13,1124,1687.91
10392,2025-10-15,Edmonton,Electronics,8,29.85,1325,238.8
10393,2025-08-03,Lagos,Beauty,11,72.81,1394,800.91
10394,2025-12-08,Kumasi,Home,10,28.31,1363,283.1
10395,2025-02-20,Lagos,Clothing,3,313.67,1242,941.01
10396,2025-06-02,Abuja,Beauty,2,29.15,1248,58.3
10397,2025-07-05,Lagos,Home,3,418.55,1220,1255.65
10398,2025-03-04,Accra,Beauty,11,256.95,1020,2826.45
10399,2025-07-09,Abuja,Groceries,6,264.45,1386,1586.7
10400,2025-05-05,Edmonton,Groceries,3,281.67,1081,845.01
10401,2025-05-30,Abuja,Electronics,10,87.07,1343,870.7
10402,2025-11-10,Kumasi,Electronics,5,100.45,1366,502.25
10403,2025-02-27,Calgary,Groceries,6,160.77,1009,964.62
10404,2025-12-08,Edmonton,Beauty,8,297.56,1011,2380.48
10405,2025-11-01,Abuja,Groceries,7,106.64,1262,746.48
10406,2025-06-29,Edmonton,Electronics,11,59.93,1144,659.23
10407,2025-06-19,Calgary,Groceries,8,485.12,1191,3880.96
10408,2025-11-22,Edmonton,Groceries,3,12.95,1249,38.85
10409,2025-09-28,Calgary,Beauty,4,401.74,1113,1606.96
10410,2025-02-23,Lagos,Home,6,394.44,1025,2366.64
10411,2025-04-11,Edmonton,Electronics,11,150.01,1270,1650.11
10412,2025-09-21,Accra,Beauty,7,69.54,1032,486.78
10413,2025-02-22,Kumasi,Groceries,9,74.52,1061,670.68
10414,2025-03-01,Calgary,Groceries,1,349.32,1228,349.32
10415,2025-04-18,Abuja,Home,8,322.12,1302,2576.96
10416,2025-01-05,Calgary,Electronics,8,391.81,1094,3134.48
10417,2025-04-13,Abuja,Electronics,6,468.87,1034,2813.22
10418,2025-07-15,Calgary,Clothing,4,346.58,1192,1386.32
10419,2025-09-19,Abuja,Electronics,3,79.61,1075,238.83
10420,2025-12-31,Edmonton,Home,11,123.23,1378,1355.53
10421,2025-12-16,Lagos,Clothing,3,421.41,1248,1264.23
10422,2025-02-16,Calgary,Clothing,6,106.23,1082,637.38
10423,2025-12-21,Abuja,Groceries,8,38.12,1024,304.96
10424,2025-11-07,Accra,Groceries,7,352.23,1056,2465.61
